"symbol","d1","d7","d30","runup","bars","price"
"BTCUSDT","-0.2","-3.5","5.9","15.9","31","63780.6"
"ETHUSDT","-0.6","-1.2","18.4","27.9","31","1909.48"
"BCHUSDT","0.3","-2.3","6.8","35.3","31","214.87"
"XRPUSDT","0.7","-5.8","1.7","15.9","31","1.0758"
"LTCUSDT","-0.2","-2.1","6.9","17.4","31","46.12"
"TRXUSDT","0.1","-1.2","1.1","6.3","31","0.32479"
"ETCUSDT","-0.9","-3.6","-6.2","10.7","31","6.692"
"LINKUSDT","0.1","-2.1","14.5","26.2","31","8.449"
"XLMUSDT","0.3","-6.9","-0.2","27","31","0.1745"
"ADAUSDT","0.1","-7","11.2","41.1","31","0.162"
"XMRUSDT","0.1","-3","8.4","23.4","31","342.06"
"DASHUSDT","-0.9","-7.2","-6.5","17.8","31","31.09"
"ZECUSDT","-0.3","-9.9","14","59.4","31","464.03"
"XTZUSDT","-0.3","-9.2","-1.9","36.6","31","0.2061"
"BNBUSDT","0","0","2.1","10.5","31","571.61"
"ATOMUSDT","-0.9","-11.8","-15.6","10.2","31","1.294"
"ONTUSDT","-0.5","-6.6","-7.5","17.4","31","0.03976"
"IOTAUSDT","0.3","-9.9","-6.6","26.8","31","0.0327"
"BATUSDT","0","-11.2","-15.3","22.5","31","0.06953"
"VETUSDT","0.1","-6.2","2","18.6","31","0.004568"
"NEOUSDT","-0.2","-5.7","-1","14.4","31","1.908"
"QTUMUSDT","0","-8","-4.8","14.8","31","0.6567"
"IOSTUSDT","-1.1","-7.3","-13.5","10.5","31","0.000616"
"THETAUSDT","-0.2","-6.7","-3.3","29","31","0.1275"
"ALGOUSDT","0.2","-5.1","-6.5","13.9","31","0.08009"
"ZILUSDT","3.9","23.1","2.2","39.3","31","0.002993"
"KNCUSDT","0.2","-5.2","-3.6","17","31","0.1056"
"ZRXUSDT","-0.7","-5.9","0.9","24.6","31","0.0807"
"COMPUSDT","-0.9","-6.5","3.7","19","31","16.28"
"DOGEUSDT","-0.1","-3","-3.6","14.3","31","0.07074"
"KAVAUSDT","0.3","-1.1","6","14.1","31","0.04512"
"BANDUSDT","-0.2","-9.5","3.8","31.6","31","0.1493"
"RLCUSDT","-0.3","-10.2","-12.1","18.7","31","0.2567"
"SNXUSDT","-1.1","-6","-0.7","26","31","0.2116"
"DOTUSDT","0","-8.9","-8","13.5","31","0.7603"
"YFIUSDT","-0.7","-4.9","21.2","78.5","31","1992"
"CRVUSDT","0.3","0","10.4","27","31","0.2121"
"TRBUSDT","0.1","-8.8","-0.2","45.5","31","13.624"
"RUNEUSDT","-0.1","0.6","14.2","23.1","31","0.4409"
"SUSHIUSDT","-0.4","-10.4","2.1","22.9","31","0.1532"
"EGLDUSDT","0.4","-11.8","4","48.4","31","2.752"
"SOLUSDT","-0.4","-5.7","-2.2","19.4","31","73.51"
"ICXUSDT","0.2","-8.4","-12.6","12.1","31","0.02151"
"STORJUSDT","-1","-29.8","-27.5","31.8","31","0.05269"
"UNIUSDT","-0.8","2.2","33.6","45.9","31","3.861"
"AVAXUSDT","-0.5","-1.3","-2","11.8","31","6.539"
