"symbol","d1","d7","d30","runup","bars","price"
"BTCUSDT","0.5","-0.4","7.3","15.9","31","64447"
"ETHUSDT","0.8","0.4","19.1","29.6","31","1878.79"
"BCHUSDT","-0.4","-2.5","6.3","37.9","31","209.71"
"XRPUSDT","0.6","0.2","4.8","17.4","31","1.0991"
"LTCUSDT","0.6","-0.9","11.3","20.3","31","46.62"
"TRXUSDT","0.2","1.4","3.5","6.3","31","0.33147"
"ETCUSDT","2.2","-3.5","-7.4","9.4","31","6.711"
"LINKUSDT","0.5","0.2","14.3","25","31","8.397"
"XLMUSDT","0.2","-5.2","0.3","27.9","31","0.17826"
"ADAUSDT","0.5","-0.5","11.3","44.5","31","0.1652"
"XMRUSDT","0.1","8.4","13.8","23.4","31","365.3"
"DASHUSDT","1.6","-5.1","-4.7","17.8","31","32.59"
"ZECUSDT","0.1","-11","16.4","60.1","31","487.72"
"XTZUSDT","-1.5","0.1","3.5","36.6","31","0.2234"
"BNBUSDT","0.9","-0.1","0.5","10.5","31","570.63"
"ATOMUSDT","-0.9","-6.2","-13.2","10.2","31","1.383"
"ONTUSDT","1.5","-2.8","-2.8","17.4","31","0.04144"
"IOTAUSDT","0.4","-3.2","-9.7","26.8","31","0.03464"
"BATUSDT","-0.2","-1.9","-10.3","22.5","31","0.07601"
"VETUSDT","-0.4","0.4","4","18.6","31","0.00467"
"NEOUSDT","-0.8","-4.3","1.8","14.4","31","1.966"
"QTUMUSDT","0.1","-4.8","0.5","14.8","31","0.6824"
"IOSTUSDT","1","-1.2","-9.9","10.3","31","0.0006472"
"THETAUSDT","2.2","0.5","3.4","29","31","0.1369"
"ALGOUSDT","-2.3","1.4","1.4","14.9","31","0.08404"
"ZILUSDT","-0.7","-5.9","-15.9","21.3","31","0.002485"
"KNCUSDT","1.8","1.5","3.4","18","31","0.1117"
"ZRXUSDT","-0.1","-0.7","7.1","28.7","31","0.0834"
"COMPUSDT","0.7","2.4","7.9","19","31","17.33"
"DOGEUSDT","3","-0.8","-5.2","14.3","31","0.07179"
"KAVAUSDT","0.3","1.7","5.5","17","31","0.04552"
"BANDUSDT","-0.7","-4.1","6.2","31.6","31","0.156"
"RLCUSDT","-0.8","-1.5","-6.4","18.9","31","0.2739"
"SNXUSDT","-2.2","-7.9","6.3","33","31","0.2133"
"DOTUSDT","1.2","-0.3","-4.3","14.2","31","0.8167"
"YFIUSDT","-0.4","-2.7","23.6","78.5","31","2065"
"CRVUSDT","-0.2","-4","5","27","31","0.2029"
"TRBUSDT","0","-1.8","8.2","50.8","31","14.602"
