"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BTCUSDT","4.7","06-07 00:00","2512","3.22","1.32","36","-20.8","-26.5",,"0","3.26","2.16","34","-19","-26.3",,"0.0001"
"ETHUSDT","8.5","06-07 00:00","2433","5.04","1.68","24","-26","-35.2",,"-0.0034","4.47","2.05","16","-23.3","-34.7",,"0.0003"
"BCHUSDT","10","06-06 04:00","2411","1.54","1.12","8","-41.8","-56.8",,"-0.0068","0.6","1.84","36","-36.8","-51.1",,"-0.0005"
"XRPUSDT","7.7","05-13 18:00","2393","1.07","1.21","24","28.6","-5.3",,"0.0014","2.26","1.61","17","23.7","-5",,"0.0026"
"LTCUSDT","4.9","06-07 19:00","2390","3.19","1.13","40","-20.7","-30.9",,"0.001","4.68","1.65","28","-20.8","-30.3",,"0.0024"
"TRXUSDT","3.3","06-06 10:00","2384","1.09","1.28","13","-11.2","-15.4",,"-0.1003","0.44","1.06","35","-10.6","-13.5",,"-0.0824"
"ETCUSDT","7.9","06-06 04:00","2383","3.74","1.7","19","-24.2","-33.3",,"-0.0057","1.69","1.71","4","-22.5","-30.2",,"-0.0009"
"LINKUSDT","7.9","06-07 00:00","2382","2.52","1.4","38","-22.8","-32",,"0.0011","3.89","1.69","19","-21.7","-32.3",,"0.0014"
"XLMUSDT","44.7","05-29 02:00","2379","9.8","25.21","72","22","-9.1",,"-0.0038","4.57","4.29","95","9.9","-0.9",,"0.0042"
"ADAUSDT","8.4","06-07 19:00","2368","3.19","0.95","72","-33.3","-43.9",,"-0.0052","6.45","2.13","20","-35.7","-45.7",,"-0.001"
"XMRUSDT","22.4","06-11 01:00","2365","0.77","0.73","99","-13.5","-22.8",,"0.01","0.65","0.58","42","-17.4","-28.8",,"0.01"
"DASHUSDT","24.3","05-20 03:00","2364","1.11","1.17","68","-11.6","-27.1",,"0","0.9","1.1","71","-9.3","-27.3",,"-0.0028"
"ZECUSDT","27.4","06-06 14:00","2363","9.86","3.13","35","-40.5","-48.3",,"-0.033","13.8","3","14","-51.6","-55.6",,"-0.0134"
"XTZUSDT","10.2","05-29 21:00","2362","1.63","1.27","28","-16.3","-24.6",,"-0.0019","1.44","1.37","18","-18.3","-23",,"-0.0042"
"BNBUSDT","12.4","05-29 19:00","2358","1.52","1.16","43","-5.1","-7.3",,"0.0023","1.47","1.1","43","-5.7","-7",,"0.0039"
"ATOMUSDT","15.8","06-10 21:00","2361","1.13","1","23","-17.7","-23.9",,"-0.0052","0.81","0.74","85","-18.5","-22.4",,"-0.012"
"ONTUSDT","17.5","05-18 10:00","2357","1.66","0.73","51","-19.8","-22.8",,"-0.0033","1.9","0.81","25","-16.3","-21.2",,"-0.0066"
"IOTAUSDT","18","05-28 05:00","2356","3.21","1.08","13","-9.7","-18.8",,"0.0074","1.47","0.9","17","-12.1","-16.2",,"0.0071"
"BATUSDT","16.5","05-27 21:00","2355","1.42","0.98","74","-4.3","-13.3",,"0.0086","0.75","0.78","15","-10.5","-15.9",,"0.0009"
"VETUSDT","7.3","05-29 09:00","2354","1.79","1.57","25","-17.5","-26.8",,"0.0043","2.34","2.07","4","-18.1","-27",,"-0.0009"
"NEOUSDT","6.1","06-06 04:00","2351","3","2.22","8","-25.8","-37.8",,"-0.017","1.49","1.62","5","-21.3","-32.7",,"-0.0006"
"QTUMUSDT","7","06-06 04:00","2348","3.52","1.44","2","-25.7","-41.9",,"0.0075","1.72","1.18","3","-19.2","-36.6",,"0.0097"
"IOSTUSDT","9.4","06-10 23:00","2347","0.78","0.77","9","-24.5","-40.1",,"0.01","0.93","0.77","29","-23.8","-38.4",,"0.01"
"THETAUSDT","8","06-10 21:00","2251","0.79","0.52","17","-20.1","-42.7",,"0.0047","0.61","0.55","53","-19.5","-41",,"0.0019"
"ALGOUSDT","18.7","05-29 01:00","2231","2.84","1.13","79","-2.2","-15.3",,"-0.013","0.67","0.68","9","-10.4","-22.4",,"-0.0085"
"ZILUSDT","6.9","06-06 04:00","2229","3.8","2.58","12","-23.1","-36",,"0.005","1.55","1.89","0","-20.1","-31.3",,"0.0046"
"KNCUSDT","7.6","06-05 15:00","2225","2.59","1.69","7","-24.4","-37.4",,"0.008","0.91","1.43","55","-11.8","-26.2",,"0.01"
"ZRXUSDT","7","06-10 21:00","2223","0.87","1.64","12","-16","-34.5",,"-0.0115","1.26","1.42","59","-15.3","-31.9",,"-0.0112"
"COMPUSDT","16","06-07 20:00","2217","1.4","0.7","57","-20","-36.9",,"-0.0177","1.86","1.4","37","-22","-37.2",,"-0.026"
"DOGEUSDT","6.7","06-06 04:00","2207","2.87","1.55","17","-20.1","-31.7",,"0.0007","1.41","1.44","2","-18.7","-27.6",,"0.0034"
"KAVAUSDT","8.8","06-06 04:00","2189","3.32","1.84","7","-31.2","-40.2",,"0.005","2.77","1.59","7","-25.2","-35",,"0.005"
