"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BTCUSDT","5.8","04-13 08:00","2512","1.04","0.72","10","4.7","-4.1",,"-0.0042","2.18","0.92","15","7.4","-2.9",,"-0.0045"
"ETHUSDT","9.3","04-13 08:00","2433","1.15","0.81","8","6","-6.2",,"-0.0021","2.48","0.95","27","10.7","-4.8",,"-0.0019"
"BCHUSDT","6.6","04-21 08:00","2411","0.57","0.71","85","2.6","-8.9",,"0.0024","0.84","0.9","38","1.2","-9.6",,"0.0008"
"XRPUSDT","6.3","04-16 14:00","2393","0.8","1.24","68","8.3","-4",,"0.003","0.64","1.13","58","0.8","-6.8",,"0.0047"
"LTCUSDT","3.9","04-28 09:00","2390","1.01","1.02","15","0.9","-3.8",,"0.0007","0.63","0.87","13","4.7","-3.5",,"-0.0009"
"TRXUSDT","1.9","05-01 15:00","2384","1.22","1","73","0.3","-3.1",,"-0.0009","0.62","0.98","79","0","-3.3",,"-0.0116"
"ETCUSDT","10","04-03 18:00","2383","0.68","1.13","56","-4.1","-8.5",,"-0.0098","0.95","1.15","4","-6.7","-11.4",,"-0.0035"
"LINKUSDT","7.2","04-12 23:00","2382","1.93","0.77","13","4.2","-7.7",,"-0.0018","1.79","0.8","63","8.4","-3.8",,"0.0021"
"XLMUSDT","9.1","04-16 14:00","2379","0.72","0.86","78","-1.7","-11.8",,"0.0015","0.64","0.74","76","-9","-14",,"-0.0009"
"ADAUSDT","7.7","04-07 05:00","2368","0.98","0.98","28","-5.9","-11.4",,"0.0056","0.94","0.72","88","1.8","-7.2",,"0.0078"
"XMRUSDT","10","04-21 02:00","2365","0.79","1.02","86","8.4","-3.2",,"0.0103","1.39","1.19","75","7.3","-3.6",,"0.0179"
"DASHUSDT","37.3","04-09 15:00","2364","0.97","1.68","49","-1.6","-8.6",,"0.0051","2.61","1.62","66","-3.9","-7",,"-0.0008"
"ZECUSDT","28","04-07 02:00","2363","0.79","0.93","65","12.1","-3.2",,"-0.0043","0.9","0.85","69","12.6","-4.3",,"-0.0063"
"XTZUSDT","9","04-27 08:00","2362","0.55","0.61","14","6.5","-9.9",,"0.0014","0.39","0.41","38","7.1","-8.1",,"0.0041"
"BNBUSDT","4.1","04-16 13:00","2358","0.53","1.08","63","8.4","-4.8",,"0.0037","0.9","1.36","76","1.2","-5.3",,"0.0047"
"ATOMUSDT","6.6","04-07 08:00","2361","0.82","1.44","26","-5.4","-8.4",,"-0.0114","0.74","1.09","92","-1.6","-6",,"-0.0102"
"ONTUSDT","27.2","04-17 02:00","2357","0.63","0.39","27","-28.3","-44.5",,"-0.0201","0.55","0.38","11","-33.8","-44.4",,"-0.0341"
"IOTAUSDT","10.4","04-16 14:00","2356","0.55","0.85","74","-4.6","-12.2",,"0.01","0.68","0.92","45","-5.8","-15",,"0.0071"
"BATUSDT","11.2","04-20 00:00","2355","1.6","0.99","6","0.8","-15.3",,"0.0056","1.31","1.66","3","4.8","-12.8",,"0.0079"
"VETUSDT","9.7","04-03 07:00","2354","0.91","1","88","0","-3.5",,"-0.0005","1.15","0.95","40","-3.6","-7",,"0.0033"
"NEOUSDT","8.1","04-03 01:00","2351","0.92","1.72","14","-2.9","-8.2",,"-0.0023","1.4","1.32","84","0.7","-3.3",,"-0.0098"
