"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"BANKUSDT","PUMP","166.6","07-18 13:00","463","87.9","16.4","5.37","13.26","61","93.2","93.2","-18.2","27","-13.5","0.0058"
"AKEUSDT","PUMP","342.8","07-14 14:00","303","9.7","71.4","0.14","0.43","48","-50.4","-31.6","-63.3","22","-14.3","0.0193"
"USUSDT","PUMP","61.3","07-09 04:00","226","21.9","27.6","0.79","0.5","21","19",,"-28.8","18","-11.1","0.0072"
"ESPORTSUSDT","PUMP","217.4","06-17 00:00","362","36.7",,,,"68",,,"-10.7","21",,"0.0212"
"KAITOUSDT","PUMP","30.1","07-07 11:00","520","15.5","7.5","2.07","1.52","34","38.9",,"-8.8","24","4.2","0.005"
"TLMUSDT","PUMP","106","06-30 22:00","1215","9.2","20.8","0.44","0.5","20","-16.8",,"-29.8","22",,"0.005"
"EULUSDT","PUMP","79.8","07-25 00:00","285","12","9.3","1.3","1.98","92","7.5","11.6","-5.9","23","4.8","0.005"
"BULLAUSDT","PUMP","37.2","07-18 03:00","387","32.9","7.8","4.23","5.23","65","19.9","80.2","-8.6","30","6.3","0.0449"
"ZAMAUSDT","PUMP","36.1","07-22 17:00","198","20.4","10.9","1.87","3.26","49","24.1","25","-8.7","26","8.8","-0.0053"
"ONUSDT","PUMP","56.3","07-22 07:00","275","65.6","32","2.05","9.19","4","41.5","37.6","-38","22","8.9","0.0119"
"PROMUSDT","PUMP","77.1","07-19 14:00","557","11.3","7.2","1.57","0.75","89","23.5","25.9","-1.1","28","6.4","0.0019"
"AVAAIUSDT","PUMP","40.7","07-19 03:00","554","62.3","9","6.89","23.7","58","51.2","51.7","-16","29","73.7","0.0404"
"MUSDT","PUMP","88.7","06-25 00:00","384","11.5","12.7","0.9","0.9","6",,,"-18.4","21",,"0.0118"
"UBUSDT","PUMP","63.3","06-21 06:00","317","71.1",,,,"29",,,"-33.1","22",,"0.005"
"EPICUSDT","PUMP","52.2","07-06 06:00","500","126.3","11.6","10.87","13.75","18","-10.4",,"-47","19","42.4","-0.0122"
"CHILLGUYUSDT","PUMP","28.2","07-24 18:00","605","7.8","11.6","0.68","0.68","10","-1.9","27.2","-17","22","-0.1","0.005"
"BTCUSDT","CTRL","5.1","07-01 12:00","2512","5.2","6","0.86","1.08","28","-9.9",,"-12.9","20",,"0.0056"
"ETHUSDT","CTRL","7.1","07-01 13:00","2433","5.7","8.9","0.64","0.9","23","-10.8",,"-15.1","24",,"0.0043"
"BCHUSDT","CTRL","8.6","06-30 14:00","2411","7.8","10.5","0.74","1.18","63","-8.5",,"-14.6","27",,"-0.007"
"XRPUSDT","CTRL","5.5","07-03 14:00","2393","6.8","8","0.84","0.97","94","-2.2",,"-14.1","28",,"0.0027"
"LTCUSDT","CTRL","5.6","07-17 17:00","2390","4.2","3.5","1.19","1.33","43","1.8","-2","-3.2","21","-7.1","0.0044"
"TRXUSDT","CTRL","2.3","07-03 00:00","2384","1.8","3","0.6","0.83","62","-1",,"-5","20",,"-0.0347"
"ETCUSDT","CTRL","8.8","06-18 18:00","2383","8.9",,,,"18",,,"-8.4","21",,"0.0036"
"LINKUSDT","CTRL","7.8","07-01 13:00","2382","6.1","9.1","0.67","0.94","30","-11.9",,"-16.5","22",,"0.0056"
"XLMUSDT","CTRL","15.2","06-30 02:00","2379","6.1","9.7","0.63","0.61","82","-15.7",,"-29.6","24",,"-0.012"
"ADAUSDT","CTRL","13.7","07-03 17:00","2368","14.6","9.1","1.6","1.35","97","7.7",,"-8.3","29",,"0.01"
"XMRUSDT","CTRL","7","07-21 00:00","2365","2.8","4.7","0.59","0.77","72","4.5","5.9","-11.3","24","0.9","0.0259"
"DASHUSDT","CTRL","7.6","06-19 09:00","2364","10.4",,,,"8",,,"-13.5","26",,"0.0022"
"ZECUSDT","CTRL","14.1","07-01 11:00","2363","9.5","14.7","0.65","0.82","48","-19.1",,"-27.4","21",,"0.0076"
"XTZUSDT","CTRL","14.8","07-02 22:00","2362","10","11.8","0.85","0.96","83","-7.1",,"-14.5","25",,"0.005"
"BNBUSDT","CTRL","4.1","06-25 13:00","2358","6.6","4.7","1.41","1.05","46",,,"-11.1","25",,"0"
"ATOMUSDT","CTRL","4.5","06-25 13:00","2361","9.9","12.8","0.77","1.13","10",,,"-20.1","17",,"-0.0102"
"ONTUSDT","CTRL","6.5","07-01 10:00","2357","12.4","8.6","1.43","2.13","9","-14.7",,"-23.5","22",,"-0.0209"
"IOTAUSDT","CTRL","14.2","07-09 11:00","2356","6","19.8","0.3","0.62","59","-6.6",,"-28.5","22","-3.8","0.0028"
