"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BTCUSDT","5.1","07-01 12:00","2512","0.86","1.08","28","-9.9","-12.9",,"0.0056","0.54","0.92","16","-10.9","-12",,"0.0064"
"ETHUSDT","7.1","07-01 13:00","2433","0.64","0.9","23","-10.8","-15.1",,"0.0043","0.65","0.93","5","-13.7","-16.1",,"0.0022"
"BCHUSDT","8.6","06-30 14:00","2411","0.74","1.18","63","-8.5","-14.6",,"-0.007","1.16","1.05","70","-13.6","-15",,"-0.0067"
"XRPUSDT","5.5","07-03 14:00","2393","0.84","0.97","94","-2.2","-14.1",,"0.0027","0.88","1","91","-4.8","-14.6",,"0.0015"
"LTCUSDT","5.6","07-17 17:00","2390","1.19","1.33","43","1.8","-3.2","-7.1","0.0044","1.09","1.61","54","4.2","-2.4","-1.3","0.0036"
"TRXUSDT","2.3","07-03 00:00","2384","0.6","0.83","62","-1","-5",,"-0.0347","0.83","1","27","-1.7","-5.5",,"-0.0286"
"ETCUSDT","5.7","06-26 02:00","2383","0.99","1.3","61","1.9","-10.5",,"0.0015","1.86","1.09","82","1.4","-8.9",,"-0.0036"
"LINKUSDT","7.8","07-01 13:00","2382","0.67","0.94","30","-11.9","-16.5",,"0.0056","0.59","0.86","1","-13.7","-17.4",,"0.0042"
"XLMUSDT","15.2","06-30 02:00","2379","0.63","0.61","82","-15.7","-29.6",,"-0.012","1.34","0.53","32","-8.9","-31.6",,"-0.0073"
"ADAUSDT","13.7","07-03 17:00","2368","1.6","1.35","97","7.7","-8.3",,"0.01","1.26","1.44","86","-0.9","-15.9",,"0.0094"
"XMRUSDT","7","07-21 00:00","2365","0.59","0.77","72","4.5","-11.3","0.9","0.0259","1.01","0.69","73","3.2","-11.5","1.5","0.0322"
"DASHUSDT","7.1","07-01 12:00","2364","0.68","0.61","26","-13","-19.6",,"0.0098","0.78","0.59","62","-12.9","-17.6",,"0.0032"
"ZECUSDT","14.1","07-01 11:00","2363","0.65","0.82","48","-19.1","-27.4",,"0.0076","1.04","0.87","53","-23.7","-27.9",,"0.007"
"XTZUSDT","14.8","07-02 22:00","2362","0.85","0.96","83","-7.1","-14.5",,"0.005","0.64","1.05","94","-11.7","-15.1",,"0.0034"
"BNBUSDT","4.1","06-25 13:00","2358","1.41","1.05","46","-1.2","-11.1",,"0","1.04","0.87","19","1.3","-8.9",,"0"
"ATOMUSDT","4.5","06-25 13:00","2361","0.77","1.13","10","11.4","-20.1",,"-0.0102","2.69","0.94","4","11.9","-18.6",,"-0.0086"
"ONTUSDT","6.5","07-01 10:00","2357","1.43","2.13","9","-14.7","-23.5",,"-0.0209","1.04","2.25","32","-13.5","-19.9",,"-0.0132"
"IOTAUSDT","14.2","07-09 11:00","2356","0.3","0.62","59","-6.6","-28.5","-3.8","0.0028","0.64","0.73","24","-13.7","-29.5","-13.3","-0.0006"
"BATUSDT","8.2","06-25 13:00","2355","2.17","0.98","41","9.1","-10.6",,"-0.0012","1.35","1.1","34","11.4","-8.1",,"0.0001"
"VETUSDT","6.3","07-10 18:00","2354","0.38","0.64","52","6","-14.6","-0.9","0.0093","0.62","0.81","51","7.1","-14.6","-6.9","0.0016"
"NEOUSDT","6.7","07-18 04:00","2351","1.29","0.94","34","-2.6","-17.3","-3.4","0.0091","0.62","0.89","29","0.1","-16.8","-5.7","0.01"
"QTUMUSDT","6.4","06-25 13:00","2348","1.27","0.89","47","-5.1","-13.1",,"0.0045","1.75","0.85","21","-2.4","-11.3",,"0.005"
"IOSTUSDT","7","06-26 02:00","2347","0.92","1.37","29","7.3","-18.3",,"0.006","2.12","2.15","37","9.5","-14.9",,"-0.0114"
"THETAUSDT","14.2","07-10 20:00","2251","0.37","0.47","45","4.2","-18.8","0.2","0.0086","0.53","0.58","43","4","-19.7","-5.2","0.0067"
"ALGOUSDT","6.4","07-24 00:00","2231","0.86","0.91","46","-0.8","-19.8","-0.9","-0.0021","0.79","0.86","62","-0.3","-18.7","1.9","0.0052"
"ZILUSDT","9.3","07-03 18:00","2229","0.65","0.75","84","-2.6","-10.4",,"0.005","0.72","0.82","80","-4.3","-12.1",,"0.005"
"KNCUSDT","10.2","07-19 06:00","2225","0.72","0.71","56","-2.2","-13.8","0.9","-0.0115","1.3","1.24","22","-2.7","-14.4","-5.2","-0.0141"
"ZRXUSDT","10.7","06-26 02:00","2223","1.44","1.05","28","-10","-18",,"0.0044","1.77","0.97","36","-7.4","-14.5",,"0.0022"
"COMPUSDT","7.2","06-26 10:00","2217","1.87","2.24","24","-12.6","-19.4",,"0.0061","1.31","1.52","32","-7.3","-16.1",,"0.0051"
"DOGEUSDT","5.9","07-24 17:00","2207","1.47","1.69","13","-6.9","-24.4","5.7","-0.0052","2.21","1.42","23","-4.6","-23.4","5.6","0.0019"
"KAVAUSDT","6.7","06-26 02:00","2189","1.77","0.84","4","-6.1","-17.8",,"0.005","1.92","0.92","31","-0.1","-12.3",,"0.005"
"BANDUSDT","11.8","06-30 15:00","2188","0.78","0.98","25","-17.7","-21.6",,"0.01","1.18","0.83","29","-19.1","-19.7",,"0.01"
"RLCUSDT","9.9","07-09 17:00","2186","0.57","0.96","38","1.7","-19.7","-0.8","-0.0072","0.93","1.01","19","1.1","-20.3","3","-0.019"
"SNXUSDT","20.8","06-26 23:00","2172","2.1","1.59","32","-7.3","-24.4",,"-0.0119","1.93","1.48","19","-10.1","-24",,"-0.013"
"DOTUSDT","7.3","07-20 09:00","2164","0.7","0.94","9","-7.1","-23.2","11.9","-0.0103","0.7","0.76","17","-3.2","-20.2","9.5","-0.0069"
"YFIUSDT","45.9","07-05 16:00","2155","1.38","0.79","27","-0.6","-14.8","-1","0.0039","1.23","0.76","81","0.3","-12.8",,"0.0065"
"CRVUSDT","12","06-30 22:00","2154","0.83","0.67","23","-23.3","-26.1",,"0.0038","0.87","0.5","75","-18.2","-23.3",,"0.0065"
"TRBUSDT","18.2","07-03 05:00","2152","0.54","0.63","83","0.9","-7.7",,"0.005","0.47","0.59","90","-1.7","-9.3",,"0.0048"
"RUNEUSDT","5.4","07-14 06:00","2151","0.52","0.86","30","5.2","-7.8","1.1","0.0071","0.64","0.61","23","3.2","-8.3","4.7","0.0057"
"SUSHIUSDT","11.1","07-18 15:00","2151","0.97","1.28","32","-3.2","-21.7","-6.7","0.0039","1.39","2.18","21","-1.1","-21.9","4.2","0.0007"
"EGLDUSDT","15.4","07-13 14:00","2141","1.65","1.27","82","19.6","-3.7","15.9","-0.001","1.49","0.87","92","22.3","-3.6","27.1","-0.0087"
"SOLUSDT","10.3","06-25 19:00","2141","1.06","1.27","33","-14.8","-13",,"-0.0063","2.17","1.17","16","-14.9","-13.2",,"-0.0085"
"ICXUSDT","6.1","06-26 02:00","2140","0.95","0.93","33","6.2","-18.3",,"0.005","2.58","0.88","27","7","-16.3",,"0.0037"
"STORJUSDT","10.6","06-26 03:00","2139","1","1.09","9","-5.5","-14.7",,"0.0036","2.17","1.52","33","-3.4","-10.4",,"-0.0046"
"UNIUSDT","16.9","07-01 16:00","2137","1.02","0.91","29","-14.9","-24.8",,"0.0055","0.85","0.94","4","-10.6","-26",,"0.0062"
"AVAXUSDT","11","06-26 02:00","2132","0.89","0.98","26","-2.3","-13.4",,"-0.0005","1.52","1.11","78","-2.8","-9.3",,"0.0018"
"ENJUSDT","9.8","07-06 11:00","2126","1.04","1.35","7","-12.7","-26.7","2.6","0.0046","1.22","1.58","19","-13.6","-24.9",,"0.0049"
"KSMUSDT","13.4","07-05 16:00","2111","1.01","0.66","19","-8.1","-17.2","1.1","0.0076","1.16","0.82","97","-4.4","-14",,"0.0065"
"NEARUSDT","8.7","07-01 11:00","2110","0.9","0.91","31","-22","-30.5",,"0.01","0.41","0.82","50","-23.8","-27.5",,"0.01"
"AAVEUSDT","18.6","06-25 16:00","2109","1.91","3.59","79","-15.6","-3.5",,"0.0049","1.42","1.44","65","-21.3","-3.5",,"0.0052"
"FILUSDT","7.7","07-01 11:00","2109","0.6","0.85","57","-9.4","-12.6",,"0.0071","0.55","0.82","68","-8.5","-12",,"0.0038"
"RSRUSDT","11.7","07-08 11:00","2106","1.01","1.33","12","-8.5","-20.6","4.5","0.0067","0.92","0.74","46","-2.7","-18.5","-0.9","0.0094"
"BELUSDT","30.3","07-05 07:00","2076","0.39","0.72","28","-30.7","-56.3",,"-0.1311","0.22","0.25","94","-33.4","-56.4",,"-0.0613"
"AXSUSDT","5.8","06-30 22:00","2074","0.55","0.45","14","-4.9","-24.5",,"-0.0006","0.22","0.23","70","0","-22",,"-0.006"
"ZENUSDT","7.3","06-25 13:00","2070","1.45","0.92","37","0.5","-18.3",,"0.0064","0.84","0.83","18","4.1","-14.4",,"0.006"
"SKLUSDT","66","07-09 12:00","2162","0.99","0.74","40","-2.7","-25.5","-0.6","0.0028","0.83","0.76","30","-8.7","-25.7","-0.8","0.0047"
"GRTUSDT","6.6","07-02 23:00","2046","0.59","0.93","71","-7.5","-15.8",,"0.0026","0.52","1.09","54","-8.9","-17.3",,"-0.0018"
"1INCHUSDT","13.2","07-20 20:00","2039","0.48","0.85","76","1.5","-6.5","-2","0.0016","0.51","0.56","54","0.2","-8.3","2","-0.0017"
"CHZUSDT","11","06-29 08:00","2012","0.89","0.53","27","-31.3","-34.3",,"-0.0225","0.91","0.54","31","24.2","-32.7",,"-0.0153"
"SANDUSDT","8.5","07-02 16:00","2015","0.52","1.01","66","-5.6","-25.6",,"0.0021","0.48","0.7","85","-10.8","-25.7",,"0.0052"
"ANKRUSDT","10.4","07-10 12:00","2008","0.73","0.69","82","7.2","-12.7","3.8","0.0036","0.67","0.65","43","2.1","-14.8","-1.8","0.0029"
"RVNUSDT","16.1","07-09 02:00","1979","0.84","1.08","33","-3.9","-19.3","-0.5","0.005","0.63","1.01","5","-6.8","-19.5","2.1","0.005"
"SFPUSDT","13.4","06-30 05:00","1978","0.98","1.61","59","-16.6","-19.3",,"0.01","1.82","1.3","24","-15.5","-19.9",,"0.01"
"COTIUSDT","7.2","06-26 02:00","1965","0.8","1.18","28","13.4","-21.7",,"0.0039","1.82","1.09","37","13.8","-18.5",,"-0.0036"
"CHRUSDT","14.4","06-25 13:00","1962","1.6","1.28","76","-4.1","-15.8",,"0.0053","1.7","0.87","24","-3.3","-16.3",,"0.0082"
"MANAUSDT","16.7","07-02 12:00","1960","0.5","1","86","-5.7","-21.8",,"0.0085","0.82","0.87","22","-10.8","-24.6",,"0.0085"
"ALICEUSDT","18.5","07-19 09:00","1959","1.07","1.04","80","-7.2","-40.7","0.1","0.005","0.7","0.69","28","-10.8","-42.8","2.2","0.0041"
"HBARUSDT","8","07-21 16:00","1957","1.11","1.06","91","-5.2","-19.1","-2","-0.0021","0.53","0.7","66","-10.8","-21.3","1.6","-0.0035"
"ONEUSDT","42.1","07-20 18:00","1957","0.58","0.63","48","-11","-29.5","6.2","0.0082","1.7","1.76","23","-10.7","-29.5","3.2","0.0076"
"CELRUSDT","8.5","06-30 22:00","1945","0.5","0.69","26","-17.7","-20.7",,"0.0023","1.02","0.68","58","-15.2","-18.5",,"0.01"
"HOTUSDT","27.3","06-26 20:00","1944","1.27","1.26","35","-12.1","-10.4",,"-0.0014","0.88","1.1","24","-14","-11.2",,"-0.0023"
"MTLUSDT","6.3","06-26 10:00","1943","0.92","1.17","44","2.3","-14.8",,"-0.002","1.27","0.79","60","3","-12.9",,"-0.0216"
"OGNUSDT","39.2","07-03 12:00","1943","1.52","1.7","47","-7.3","-16.8",,"0.005","2.2","1.65","39","-12.7","-18.8",,"0.0044"
"1000SHIBUSDT","22.1","07-24 19:00","1903","0.87","1.24","48","-4.3","-19.6","1.4","-0.0068","0.81","0.92","3","-4","-20.8","2","0.0027"
"GTCUSDT","15.1","07-02 21:00","1959","1.9","2.97","51","-3.2","-14.8",,"0.0338","1.06","1.54","77","-8.2","-14.2",,"0.034"
"BTCDOMUSDT","1.5","06-25 04:00","1865","0.82","2.06","62","2.2","-1.2",,"0.01","0.62","0.98","89","2.1","-0.9",,"0.0128"
"IOTXUSDT","7.3","06-25 13:00","1810","0.78","0.58","46","19","-19.4",,"0.0097","0.88","0.44","15","22.5","-17.3",,"0.0085"
"C98USDT","11","07-10 14:00","1798","0.98","1.01","68","1.4","-13.4","-7","0.0007","0.72","1.23","62","2.9","-13.9","-2.4","0.0067"
"MASKUSDT","10.8","07-02 19:00","1836","0.63","0.49","74","7.4","-8.2",,"0.0028","0.48","0.4","69","-0.8","-10",,"0.0032"
"DYDXUSDT","51.8","06-30 04:00","1781","0.63","0.69","44","30.5","-5.6",,"0.0034","1.08","0.62","97","31.1","-0.7",,"0.0021"
"1000XECUSDT","38.8","07-12 07:00","1774","0.34","0.74","22","0.2","-14.1","-7","0.01","0.34","0.65","54","0.4","-13.9","1","0.01"
"GALAUSDT","11.6","07-02 15:00","1773","0.69","1.06","71","-7.9","-17",,"0.0097","0.56","0.87","83","-15.7","-17.6",,"0.0069"
"CELOUSDT","21.3","06-30 19:00","1764","5.1","4.41","3","-9.3","-29.9",,"-0.1435","2.83","7.12","18","0.9","-20.3",,"-0.1349"
